,0,1,2,3,4,5,6,7
169,.no,ノルウェー,,ノルウェーで登録されている団体、またはノルウェーで住民登録された18歳以上の個人で、ノルウェー国内の住所を有しているものに限る。,Yes,Yes,Yes,
170,.np,ネパール,,すべての.npドメインは、個人と登録された企業が登録することができる。,,No,No,
171,.nr,ナウル,,co.nrで無料ドメインサービスが提供されている。,,No,Yes,
172,.nu,ニウエ,,"デンマーク・オランダ・スウェーデン各国の言葉で ""nu""が「今」(now)の意味になることから、これらの国のWebサイトで使用されている。",Yes,Yes,Yes,
173,.nz,ニュージーランド,,,マオリ語[cctld 16],Yes,Yes[26],
174,.om,オマーン,,オマーンで登記されたか商標を有する企業で、オマーン国内に連絡先を持つものに限る。,,No,No,
175,.pa,パナマ,,,,No,No,
176,.pe,ペルー,,,Yes[cctld 17],Yes,Yes,
177,.pf,フランス領ポリネシア,Polynésie française,クリッパートン島を含む。,,No,Yes,
178,.pg,パプアニューギニア,,,,No,No,
179,.ph,フィリピン,,,,No,Yes,
180,.pk,パキスタン,,1992年からPKNICが管理している。,,No,Yes,
181,.pl,ポーランド,,,Yes[cctld 18],Yes,Yes,
182,.pm,サンピエール島・ミクロン島,,欧州連合・スイス・ノルウェー・アイスランド・リヒテンシュタインの個人・企業に限る[cctld 11]。,Yes,Yes,,
183,.pn,ピトケアン諸島,,,,No,Yes,
184,.pr,プエルトリコ,,,,Yes,Yes,
185,.ps,パレスチナ[27],,ヨルダン川西岸地区とガザ地区,,No,Yes,
186,.pt,ポルトガル,,,ポルトガル語,Yes,Yes,Yes[28]
187,.pw,パラオ,Pelew,,,Yes,Yes,
188,.py,パラグアイ,,,,No,No,
189,.qa,カタール,,,,No,No,
190,.re,レユニオン,,欧州連合・スイス・ノルウェー・アイスランド・リヒテンシュタインの個人・企業に限る[cctld 11]。,Yes[cctld 12],Yes,Yes,
191,.ro,ルーマニア,,,,No,Yes,Yes[29]
192,.rs,セルビア,Republika Srbija,,,No,Yes,
193,.ru,ロシア,,ソビエト連邦に割り当てられていた.suも未だに使用されている。,No,Yes,Yes,Yes
194,.rw,ルワンダ,,,,No,Yes,
195,.sa,サウジアラビア,,登録者は、①登録しようとするドメイン名と同一のサウジアラビアにおける商標を有している；②サウジアラビアで企業登記をしている；③サウジアラビアの有効な個人登録証を有している；のいずれかの必要がある。また、サウジアラビア国内に連絡先が必要である。セカンドレベルドメインの登録は2011年から開始された[30]。,アラビア語[9],No,Yes,
196,.sb,ソロモン諸島,British Solomon Islands,,,Yes,No,
197,.sc,セーシェル,,,,Yes,Yes,
198,.sd,スーダン,,,,No,Yes,
199,.se,スウェーデン,,,Yes[cctld 19],Yes,Yes,
200,.sg,シンガポール,,,,No,Yes,
201,.sh,セントヘレナ,,,Yes[cctld 20],Yes,Yes,
202,.si,スロベニア,,,Yes[cctld 21],Yes,Yes,
203,.sj,スヴァールバル諸島・ ヤンマイエン島,,未使用（ノルウェー領。.noを参照。）,No,Yes[31],No,
204,.sk,スロバキア,,スロバキアの企業・団体・市民に限る。,,No,Yes,
205,.sl,シエラレオネ,,,,No,Yes,
206,.sm,サンマリノ,,ドメイン名は企業名または商標と同一であること。,,No,Yes,
207,.sn,セネガル,,,,No,Yes,
208,.so,ソマリア,,2010年11月1日より登録を再開した。,No,No,Yes,
209,.sr,スリナム,,,,No,Yes,
210,.ss,南スーダン,,2013年4月にDNSルートサーバから削除された。,,,,
211,.st,サントメ・プリンシペ,,,,No,Yes,
212,.su,ソビエト連邦,,ロシアにおいて未だに使用されている。,Yes[cctld 22],Yes,Yes,Yes[cctld 23]
213,.sv,エルサルバドル,,,,No,No,
214,.sx,シント・マールテン,,,,Yes,No,
215,.sy,シリア,,,,No,Yes,
216,.sz,スワジランド,,スワジランドの通商資格を持ったスワジランドの団体に限る。,,No,No,
217,.tc,タークス・カイコス諸島,,トルコの国号(Türkiye Cumhuriyeti)の略号がTCであることから、トルコ国内でも使用されている。,,No,Yes,
218,.td,チャド,Tchad,チャドに関係する者のみに限る。,,No,Yes,
219,.tf,フランス領南方・南極地域,Terres australes et antarctiques françaises,まれに使用される。欧州連合・スイス・ノルウェー・アイスランド・リヒテンシュタインの個人・企業に限る[cctld 11]。,Yes[cctld 12],Yes,Yes,
220,.tg,トーゴ,,,,No,Yes,
221,.th,タイ,,,Yes,Yes,No,
222,.tj,タジキスタン,,,,No,Yes,
223,.tk,トケラウ,,無料ドメインサービスが提供されている。オランダ語でtk (“te koop”) が “for sale” の意味になることから、オランダでも使用されている。,,No,Yes,
224,.tl,東ティモール,Timor-Leste,かつてのドメイン.tpは2015年に無効化された。,,No,Yes,
225,.tm,トルクメニスタン,,,Yes[cctld 24],Yes,Yes,
226,.tn,チュニジア,,,,Yes,Yes,
227,.to,トンガ,,BitTorrent関連、トリノ、トロント、東京、トカンティンス州などでも非公式に使用されている。,Yes,No,Yes,
228,.tp,東ティモール,Timor Português,ISO国名コードがTLに変更されたため、.tlが新たに割り当てられた。.tpは2015年に無効化された。,,No,Yes,
229,.tr,トルコ,,北キプロスでは .nc.tr を使用している。,Yes[cctld 25],No,Yes,不明[32]
230,.tt,トリニダード・トバゴ,,,,Yes,Yes,
231,.tv,ツバル,,テレビの略称として使われており、2000年にドメインの使用権がdotTV社（現在はベリサインの子会社）に買却された。ツバル政府は同社の20パーセントを保有している。,,Yes,Yes,
232,.tw,台湾,,登録は世界に対して開かれており、国内の実体は必要ない。ISO 3166-1に従い「台湾」を表すのに「TW」が指定されるというのがIANAの公式見解である[33]。,Yes[cctld 26],Yes,Yes,
233,.tz,タンザニア,,タンザニアに実体がある必要がある。,,Yes,No,
234,.ua,ウクライナ,Україна / Ukraina,ウクライナの商標が必要。,,Yes,Yes,
235,.ug,ウガンダ,,,,Yes,Yes,
236,.uk,イギリス,,"ISO 3166-1で定義されたイギリスの国名コードは""GB""であるが、""UK""もイギリスのために予約してある。.ukドメインが作られたのはISO 3166-1によるccTLDよりも前である。イギリスでは.gbよりも.ukの方がよく使われている[16]。",,Yes,Yes,
237,.us,アメリカ,,アメリカ合衆国の市民・住民・団体およびアメリカ合衆国内に存在する外国の実体に限る。かつてはアメリカ合衆国の政府と地方自治体により使用されていた。.govも参照。,,Yes,Yes,
238,.uy,ウルグアイ,,セカンドレベルドメインは2012年7月10日に登録を開始した[34]。,,Yes,Yes,
239,.uz,ウズベキスタン,,,,No,Yes,
240,.va,バチカン市国,Vaticano,聖座（バチカン政府を含む）の公式サイトのみ。,,No,No,
241,.vc,セントビンセント・グレナディーン,,,,部分的[21],Yes,
242,.ve,ベネズエラ,,,,No,No,
243,.vg,イギリス領ヴァージン諸島,,,,No,Yes,
244,.vi,アメリカ領ヴァージン諸島,,,,No,Yes,
245,.vn,ベトナム,,,Yes[cctld 27],No,Yes,
246,.vu,バヌアツ,,,,Yes,Yes,
247,.wf,ウォリス・フツナ,,欧州連合・スイス・ノルウェー・アイスランド・リヒテンシュタインの個人・企業に限る[cctld 11]。,Yes[cctld 12],Yes,Yes,
248,.ws,サモア,Western Samoa (旧名),WSが web site の略ともなることから、世界中で使用されている。,Yes,Yes[35],Yes,
249,.ye,イエメン,,,,No,No,
250,.yt,マヨット島,,欧州連合・スイス・ノルウェー・アイスランド・リヒテンシュタインの個人・企業に限る[cctld 11]。,Yes[cctld 12],Yes,Yes,
251,.za,南アフリカ,Zuid-Afrika (オランダ語),,,No,No,
252,.zm,ザンビア,,,,Yes,Yes[cctld 28],
253,.zw,ジンバブエ,,,,No,No,
